,HGAB,,,Senate CR Incremental Amounts,,,Senate CR Incremental Amounts,,
,Confidential Expenses,Intelligence Expenses,Confi + Intel Funds,Confidential Expenses,Intelligence Expenses,Confi + Intel Funds,Confidential Expenses,Intelligence Expenses,Confi + Intel Funds
TOTAL,"4,415,754","6,547,627","10,963,381","+622,700","+7,000","+629,700","+829,405","+22,895","+852,300"
OP,"2,250,000","2,310,000","4,560,000",,,,,,
DENR-OSEC,"13,950",,"13,950",,,,,,
DOF-BOC,"69,500",,"69,500","+180,500",,,"+180,500",,
DOF-BIR,10000.00,,"10,000",,,,,,
DILG-OSEC,"100,600",,"100,600",,,,"+200,000",,
DILG-PNP,,"806,029","806,029",,"+7,000",,,"+7,000",
DOJ-OSEC,"364,846",,"364,846","+365,100",,,"+365,100",,
DOJ-BOI,"20,000",,"20,000",,,,,,
DOJ-NBI,"225,400",,"225,400","+75,000",,,"+75,000",,
DOJ-OSG,"19,200",,"19,200",,,,,,
DND-OSEC,"87,000","60,000","147,000",,,,,,
DND-Philippine Army,,"444,000","444,000",,,,,,
DND-Phlippine Air Force,,"17,000","17,000",,,,,,
DND-Philippine Navy,,"39,749","39,749",,,,,,
DND-GHQAFPWSSUS,,"1,200,649","1,200,649",,,,,"+15,895",
DSWD-OSec,"18,000",,"18,000",,,,,,
DOTr-OTS,"2,290",,"2,290",,,,,,
DOTr-PCG,,"550,000","550,000",,,,,,
COA,"10,000",,"10,000",,,,,,
Ombudsman,"51,468",,"51,468",,,,,,
CHR,"1,000",,"1,000",,,,,,
OEOs,,,0,,,,,,
   Anti-Money Laundering Council,"7,500",,"7,500","+2,100",,,"+2,100",,
   Anti-Red Tape Authority,,,,,,,"+6,705",,
   Games and Amusements Board,"4,000",,"4,000",,,,,,
   National Intelligence Coordinating Agency,"351,000","1,120,200","1,471,200",,,,,,
   National Security Council,"250,000",,"250,000",,,,,,
"   Office of the Presidential Adviser on Peace, Reconciliation, and Unity","60,000",,"60,000",,,,,,
   Philippine Drug Enforcement Agency,"500,000",,"500,000",,,,,,
