,GAA2025,NEP2026,HGAB2026,SenateCR2026,SGAB2026,HGAB-NEP,HGAB26-GAA25,SenateCR-HGAB,SenateCR-NEP,SenateCR26-GAA25
,,,,,,,,,,
DPWH,"1,087,698,747,000","880,008,893,000","624,480,842,000","568,561,171,000","570,486,618,000","-255,528,051,000","-463,217,905,000","-55,919,671,000","-311,447,722,000","-519,137,576,000"
General Administration and Support,"13,314,782,000","20,468,476,000","17,234,981,000","20,234,981,000","20,234,981,000","-3,233,495,000","+3,920,199,000","+3,000,000,000","-233,495,000","+6,920,199,000"
Support to Operations,"10,345,107,000","82,426,508,000","47,784,173,000","50,784,673,000","46,752,465,000","-34,642,335,000","+37,439,066,000","+3,000,500,000","-31,641,835,000","+40,439,566,000"
ASSET PRESERVATION PROGRAM,"154,063,738,000","108,277,054,000","118,398,020,000","92,255,549,000","91,188,416,000","+10,120,966,000","-35,665,718,000","-26,142,471,000","-16,021,505,000","-61,808,189,000"
Preventive Maintenance,"104,236,234,000","49,610,108,000","51,814,404,000","29,019,922,000","27,919,923,000","+2,204,296,000","-52,421,830,000","-22,794,482,000","-20,590,186,000","-75,216,312,000"
      Preventive Maintenance - Primary Roads,"32,861,689,000","15,933,679,000","16,794,716,000","9,821,125,000","8,721,125,000","+861,037,000","-16,066,973,000","-6,973,591,000","-6,112,554,000","-23,040,564,000"
      Preventive Maintenance - Secondary Roads,"46,603,448,000","20,341,692,000","21,021,881,000","11,394,600,000","11,394,600,000","+680,189,000","-25,581,567,000","-9,627,281,000","-8,947,092,000","-35,208,848,000"
      Preventive Maintenance - Tertiary Roads,"24,771,097,000","13,334,737,000","13,997,807,000","7,804,197,000","7,804,198,000","+663,070,000","-10,773,290,000","-6,193,610,000","-5,530,540,000","-16,966,900,000"
Rehabilitation/ Reconstruction/ Upgrading of Damaged Paved Roads,"21,070,822,000","21,143,332,000","21,060,808,000","19,832,100,000","19,864,966,000","-82,524,000","-10,014,000","-1,228,708,000","-1,311,232,000","-1,238,722,000"
      Rehabilitation/Reconstruction/Upgrading of Damaged Roads - Primary Roads,"6,361,206,000","9,603,039,000","5,361,640,000","5,224,821,000","5,541,687,000","-4,241,399,000","-999,566,000","-136,819,000","-4,378,218,000","-1,136,385,000"
