,GAA2025,NEP2026,HGAB2026,SenateCR2026,SGAB2026,HGAB-NEP,HGAB26-GAA25,SenateCR-HGAB,SenateCR-NEP,SenateCR26-GAA25
,,,,,,,,,,
DepEd-OSEC,"734,187,794,000","872,887,143,000","912,498,878,000","990,165,861,000","984,876,838,000","+39,611,735,000","+178,311,084,000","+77,666,983,000","+117,278,718,000","+255,978,067,000"
General Administration and Support,"19,865,732,000","27,360,584,000","27,940,135,000","33,110,034,000","33,085,034,000","+579,551,000","+8,074,403,000","+5,169,899,000","+5,749,450,000","+13,244,302,000"
Support to Operations,"4,984,883,000","4,934,921,000","4,984,921,000","10,483,709,000","10,483,709,000","+50,000,000","+38,000","+5,498,788,000","+5,548,788,000","+5,498,826,000"
Education Policy Development Program,"12,645,424,000","13,756,624,000","14,740,635,000","15,861,462,000","16,006,442,000","+984,011,000","+2,095,211,000","+1,120,827,000","+2,104,838,000","+3,216,038,000"
      National Assessment Systems for Basic Education,"517,387,000","528,884,000","528,884,000","528,884,000","528,884,000",0,"+11,497,000",0,0,"+11,497,000"
      Policy and Research Program,"1,988,440,000","2,293,266,000","2,293,266,000","2,343,266,000","2,343,266,000",0,"+304,826,000","+50,000,000","+50,000,000","+354,826,000"
      Basic Education Curriculum,"3,694,121,000","3,561,608,000","4,545,619,000","5,529,629,000","5,674,609,000","+984,011,000","+851,498,000","+984,010,000","+1,968,021,000","+1,835,508,000"
"      Curricular programs, learning management models, standards and strategy development","6,255,769,000","7,181,458,000","7,181,458,000","7,181,458,000","7,181,458,000",0,"+925,689,000",0,0,"+925,689,000"
      Development and Promotion of Campus Journalism,"65,272,000","66,420,000","66,420,000","66,420,000","66,420,000",0,"+1,148,000",0,0,"+1,148,000"
      National Literacy Policies and Programs,"18,204,000","18,757,000","18,757,000","105,574,000","105,574,000",0,"+553,000","+86,817,000","+86,817,000","+87,370,000"
      Early Language Literacy and Numeracy,"106,231,000","106,231,000","106,231,000","106,231,000","106,231,000",0,0,0,0,0
