,GAA2025,NEP2026,HGAB2026,SenateCR2026,SGAB2026,HGAB-NEP,HGAB26-GAA25,SenateCR-HGAB,SenateCR-NEP,SenateCR26-GAA25
,,,,,,,,,,
DOH-OSEC,"247,560,194,000","253,471,019,000","282,811,346,000","262,848,105,000","269,648,215,000","+29,340,327,000","+35,251,152,000","-19,963,241,000","+9,377,086,000","+15,287,911,000"
General Administration and Support,"14,436,570,000","18,099,539,000","18,099,539,000","18,099,539,000","18,099,539,000",0,"+3,662,969,000",0,0,"+3,662,969,000"
Support to Operations,"3,300,992,000","2,534,316,000","2,534,316,000","2,534,316,000","2,534,316,000",0,"-766,676,000",0,0,"-766,676,000"
Health Policy and Systems Strengthening Program,"9,169,665,000","10,076,128,000","8,656,142,000","8,666,142,000","9,074,952,000","-1,419,986,000","-513,523,000","+10,000,000","-1,409,986,000","-503,523,000"
"Health Systems, Policy and Standards Sub-Program","1,645,579,000","2,628,391,000","2,628,391,000","2,638,391,000","2,638,391,000",0,"+982,812,000","+10,000,000","+10,000,000","+992,812,000"
      International Health Policy Development and Cooperation,"39,125,000","188,059,000","188,059,000","188,059,000","188,059,000",0,"+148,934,000",0,0,"+148,934,000"
      Health Sector Policy and Plan Development,"60,898,000","68,328,000","68,328,000","68,328,000","68,328,000",0,"+7,430,000",0,0,"+7,430,000"
      Health Sector Research Development,"78,995,000","82,580,000","82,580,000","92,580,000","92,580,000",0,"+3,585,000","+10,000,000","+10,000,000","+13,585,000"
      Health Facility Policy and Plan Development,"166,238,000","168,628,000","168,628,000","168,628,000","168,628,000",0,"+2,390,000",0,0,"+2,390,000"
      Local Health Systems Development and Assistance,"662,181,000","1,406,428,000","1,406,428,000","1,406,428,000","1,406,428,000",0,"+744,247,000",0,0,"+744,247,000"
      Pharmaceutical Management,"121,544,000","123,732,000","123,732,000","123,732,000","123,732,000",0,"+2,188,000",0,0,"+2,188,000"
      Human Resources for Health (HRH) and Institutional Capacity Management,"462,598,000","475,664,000","475,664,000","475,664,000","475,664,000",0,"+13,066,000",0,0,"+13,066,000"
      Health Sector Governance and Strategy Management,"14,000,000","74,252,000","74,252,000","74,252,000","74,252,000",0,"+60,252,000",0,0,"+60,252,000"
      Public-Private Partnership for Health,"20,000,000","20,360,000","20,360,000","20,360,000","20,360,000",0,"+360,000",0,0,"+360,000"
      Health Tourism,"20,000,000","20,360,000","20,360,000","20,360,000","20,360,000",0,"+360,000",0,0,"+360,000"
"Public Health Policy, Planning, Monitoring and Evaluation Sub-Program","7,524,086,000","7,447,737,000","6,027,751,000","6,027,751,000","6,436,561,000","-1,419,986,000","-1,496,335,000",0,"-1,419,986,000","-1,496,335,000"
      Health Promotion,"1,491,474,000","2,534,711,000","1,114,725,000","1,114,725,000","1,114,725,000","-1,419,986,000","-376,749,000",0,"-1,419,986,000","-376,749,000"
      Disease Prevention and Control,"4,543,957,000","3,299,383,000","3,299,383,000","3,299,383,000","3,299,383,000",0,"-1,244,574,000",0,0,"-1,244,574,000"
      Epidemiology and Surveillance,"422,322,000","435,558,000","435,558,000","435,558,000","435,558,000",0,"+13,236,000",0,0,"+13,236,000"
      Health Emergency Preparedness and Response,"309,207,000","420,687,000","420,687,000","420,687,000","829,497,000",0,"+111,480,000",0,0,"+111,480,000"
      Quick Response Fund,"500,000,000","500,000,000","500,000,000","500,000,000","500,000,000",0,0,0,0,0
      Assistance to Philippine Tuberculosis Society,"15,088,000","15,360,000","15,360,000","15,360,000","15,360,000",0,"+272,000",0,0,"+272,000"
      Health Statistics,"242,038,000","242,038,000","242,038,000","242,038,000","242,038,000",0,0,0,0,0
Local Health System Support Program,"76,122,255,000","69,889,568,000","75,583,591,000","69,889,568,000","71,615,868,000","+5,694,023,000","-538,664,000","-5,694,023,000",0,"-6,232,687,000"
Health Commodities Assistance Sub-Program,"21,061,995,000","23,040,595,000","23,040,595,000","23,040,595,000","23,040,595,000",0,"+1,978,600,000",0,0,"+1,978,600,000"
      Nationally-procured Commodities for Environmental and Occupational Health,"380,739,000","389,155,000","389,155,000","389,155,000","389,155,000",0,"+8,416,000",0,0,"+8,416,000"
"      Nationally-procured Commodities for Family Health, Immunization, Nutrition and Responsible Parenting","10,178,289,000","10,241,198,000","10,241,198,000","10,241,198,000","10,241,198,000",0,"+62,909,000",0,0,"+62,909,000"
      Nationally-procured Commodities for Family Planning and Reproductive Health,"749,919,000","749,919,000","749,919,000","749,919,000","749,919,000",0,0,0,0,0
      Nationally-procured Commodities for Prevention and Control of Communicable Diseases,"5,375,720,000","7,719,625,000","7,719,625,000","7,719,625,000","7,719,625,000",0,"+2,343,905,000",0,0,"+2,343,905,000"
      Nationally-procured Commodities for Prevention and Control of Non-Communicable Diseases,"3,482,240,000","2,725,166,000","2,725,166,000","2,725,166,000","2,725,166,000",0,"-757,074,000",0,0,"-757,074,000"
      Supply Chain Management,"895,088,000","1,215,532,000","1,215,532,000","1,215,532,000","1,215,532,000",0,"+320,444,000",0,0,"+320,444,000"
Health Service Delivery Sub-Program,"55,060,260,000","46,848,973,000","52,542,996,000","46,848,973,000","48,575,273,000","+5,694,023,000","-2,517,264,000","-5,694,023,000",0,"-8,211,287,000"
      National Health Workforce Support System (NHWSS),"17,971,080,000","23,356,518,000","23,356,518,000","23,356,518,000","23,356,518,000",0,"+5,385,438,000",0,0,"+5,385,438,000"
      Health Facilities Enhancement Program,"35,367,037,000","14,538,644,000","20,232,667,000","14,538,644,000","16,264,944,000","+5,694,023,000","-15,134,370,000","-5,694,023,000",0,"-20,828,393,000"
      LFP: Hiring of Vaccination Teams,"284,280,000","284,280,000","284,280,000","284,280,000","284,280,000",0,0,0,0,0
      FAP: Philippine Multi-Sectoral Nutrition Project WB Loan No. 9382-PH,"1,437,863,000",0,0,0,0,0,"-1,437,863,000",0,0,"-1,437,863,000"
"      FAP: Philippines: Health System Resilience Project, Phase 1 WB Loan No. 9781-PH",0,"8,669,531,000","8,669,531,000","8,669,531,000","8,669,531,000",0,"+8,669,531,000",0,0,"+8,669,531,000"
Health Facilities Operation Program,"100,827,599,000","126,032,718,000","126,132,718,000","135,569,790,000","136,034,790,000","+100,000,000","+25,305,119,000","+9,437,072,000","+9,537,072,000","+34,742,191,000"
Curative Health Care Sub-Program,"99,069,533,000","123,152,281,000","123,252,281,000","132,689,353,000","133,154,353,000","+100,000,000","+24,182,748,000","+9,437,072,000","+9,537,072,000","+33,619,820,000"
      Operations of Blood Centers and National Voluntary Blood Services Program,"651,973,000","665,683,000","665,683,000","665,683,000","665,683,000",0,"+13,710,000",0,0,"+13,710,000"
      Operations of DOH Hospitals in Metro Manila (MM),"22,065,476,000","26,468,492,000","26,468,492,000","30,268,765,000","30,348,765,000",0,"+4,403,016,000","+3,800,273,000","+3,800,273,000","+8,203,289,000"
      Operations of DOH Regional Hospitals and Other Health Facilities,"75,606,830,000","95,259,437,000","95,359,437,000","100,996,236,000","101,381,236,000","+100,000,000","+19,752,607,000","+5,636,799,000","+5,736,799,000","+25,389,406,000"
      Operations of Philippine Health Laboratory System,"745,254,000","758,669,000","758,669,000","758,669,000","758,669,000",0,"+13,415,000",0,0,"+13,415,000"
Rehabilatitive Health Care Sub-Program,"1,758,066,000","2,880,437,000","2,880,437,000","2,880,437,000","2,880,437,000",0,"+1,122,371,000",0,0,"+1,122,371,000"
      Operation of Dangerous Drug Abuse Treatment and Rehabilitation Centers,"1,758,066,000","2,794,743,000","2,794,743,000","2,794,743,000","2,794,743,000",0,"+1,036,677,000",0,0,"+1,036,677,000"
      Operation of DOH Health and Wellness Facilities,0,"85,694,000","85,694,000","85,694,000","85,694,000",0,"+85,694,000",0,0,"+85,694,000"
Health Regulatory Program,"1,293,203,000","1,351,186,000","1,351,186,000","1,351,186,000","1,351,186,000",0,"+57,983,000",0,0,"+57,983,000"
Health Facilities and Services Regulation Sub-Program,"486,713,000","523,720,000","523,720,000","523,720,000","523,720,000",0,"+37,007,000",0,0,"+37,007,000"
      Regulation of Health Facilities and Services,"97,217,000","104,100,000","104,100,000","104,100,000","104,100,000",0,"+6,883,000",0,0,"+6,883,000"
      Regulation of Regional Health Facilities and Services,"389,496,000","419,620,000","419,620,000","419,620,000","419,620,000",0,"+30,124,000",0,0,"+30,124,000"
Consumer Health and Welfare Sub-Program,"623,283,000","620,626,000","620,626,000","620,626,000","620,626,000",0,"-2,657,000",0,0,"-2,657,000"
      Regulation of Health Establishments and Products,"623,283,000","620,626,000","620,626,000","620,626,000","620,626,000",0,"-2,657,000",0,0,"-2,657,000"
Routine Quarantine Services Sub-Program,"183,207,000","206,840,000","206,840,000","206,840,000","206,840,000",0,"+23,633,000",0,0,"+23,633,000"
      Provision of Quarantine Services and International Health Surveillance,"183,207,000","206,840,000","206,840,000","206,840,000","206,840,000",0,"+23,633,000",0,0,"+23,633,000"
Social Health Protection Program,"42,409,910,000","25,487,564,000","50,453,854,000","26,737,564,000","30,937,564,000","+24,966,290,000","+8,043,944,000","-23,716,290,000","+1,250,000,000","-15,672,346,000"
      Cancer Assistance Fund,"1,250,000,000","1,250,000,000","1,250,000,000","1,500,000,000","1,500,000,000",0,0,"+250,000,000","+250,000,000","+250,000,000"
      Medical Assistance to Indigent and Financially-Incapacitated Patients (MAIFIP),"41,159,910,000","24,237,564,000","49,203,854,000","24,237,564,000","28,437,564,000","+24,966,290,000","+8,043,944,000","-24,966,290,000",0,"-16,922,346,000"
      DOH Universal Health Care Fund for Zero Balance Billing in Local Government Unit (LGU) Hospitals,,,,"1,000,000,000","1,000,000,000",,,"+1,000,000,000","+1,000,000,000","+1,000,000,000"
