,GAA2025,NEP2026,HGAB2026,SenateCR2026,SGAB2026,HGAB-NEP,HGAB26-GAA25,SenateCR-HGAB,SenateCR-NEP,SenateCR26-GAA25
,,,,,,,,,,
DSWD-OSEC,"215,818,586,000","221,356,857,000","255,854,857,000","224,531,789,000","239,866,836,000","+34,498,000,000","+40,036,271,000","-31,323,068,000","+3,174,932,000","+8,713,203,000"
General Administration and Support,"2,381,081,000","1,173,726,000","2,173,726,000","2,173,726,000","2,173,726,000","+1,000,000,000","-207,355,000",0,"+1,000,000,000","-207,355,000"
Support to Operations,"1,867,875,000","6,350,718,000","4,325,718,000","4,325,718,000","4,325,718,000","-2,025,000,000","+2,457,843,000",0,"-2,025,000,000","+2,457,843,000"
National Household Targeting System for Poverty Reduction,,"190,291,000","190,291,000","190,291,000","190,291,000",0,"+190,291,000",0,0,"+190,291,000"
Promotive Social Welfare Program,"73,605,182,000","119,272,894,000","119,907,894,000","108,732,847,000","120,082,894,000","+635,000,000","+46,302,712,000","-11,175,047,000","-10,540,047,000","+35,127,665,000"
      Pantawid Pamilyang Pilipino Program (Implementation of Conditional Cash Transfer),"64,185,431,000","112,997,044,000","112,997,044,000","101,821,997,000","112,997,044,000",0,"+48,811,613,000","-11,175,047,000","-11,175,047,000","+37,636,566,000"
      Sustainable Livelihood Program,"6,285,604,000","4,495,763,000","5,130,763,000","5,130,763,000","5,305,763,000","+635,000,000","-1,154,841,000",0,"+635,000,000","-1,154,841,000"
      Kapit-Bisig Laban sa Kahirapan-Comprehensive and Integrated Delivery of Social Services: Kapangyarihan at Kaunlaran sa Barangay (KALAHI-CIDSS-KKB),"2,110,659,000","1,780,087,000","1,780,087,000","1,780,087,000","1,780,087,000",0,"-330,572,000",0,0,"-330,572,000"
"      FAP: Beneficiary FIRST (Fast, Innovative and Responsive Service Transformation) (Emergency Social Protection Project) WB Loan No. 9168-PH","30,923,000",0,0,0,0,0,"-30,923,000",0,0,"-30,923,000"
      FAP: Philippine Multi-Sectoral Nutrition Project WB Loan No. 9382-PH,"992,565,000",0,0,0,0,0,"-992,565,000",0,0,"-992,565,000"
